                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57074,                 1.9321,                 1.0898,                0.58098,                0.69913,                0.69158,                 0.4477,                0.95703,                 2.0514,                 1.7355,             0.00041516,             0.00041516,             0.00041516
                      2,                0.57981,                 1.2428,                 1.0755,                0.62214,                0.70955,                 0.7798,                0.56444,                0.84711,                 1.4755,                 1.5111,             0.00081535,             0.00081535,             0.00081535
                      3,                0.58638,                 1.0757,                 1.0736,                0.79267,                0.81519,                0.84399,                 0.6347,                0.83164,                 1.0387,                 1.4652,              0.0011991,              0.0011991,              0.0011991
                      4,                0.56559,                0.96445,                 1.0583,                0.85733,                0.85146,                0.90614,                0.72775,                0.70635,                0.86637,                 1.3179,              0.0011757,              0.0011757,              0.0011757
                      5,                0.52484,                0.86005,                 1.0345,                0.78243,                0.80199,                0.85012,                0.58205,                 1.0097,                 1.1242,                 1.6688,               0.001151,               0.001151,               0.001151
                      6,                0.50155,                0.79408,                  1.019,                0.73242,                0.80367,                0.81947,                0.59748,                0.87964,                 1.2147,                 1.5384,              0.0011263,              0.0011263,              0.0011263
                      7,                0.47696,                0.73933,                  1.007,                0.90298,                0.84236,                0.93065,                0.78379,                0.62892,                 0.7209,                 1.2568,              0.0011015,              0.0011015,              0.0011015
                      8,                0.46136,                0.72224,                 1.0008,                 0.8399,                0.89377,                 0.9273,                0.70449,                0.80591,                0.84937,                 1.4703,              0.0010768,              0.0010768,              0.0010768
                      9,                 0.4418,                0.67192,                0.98871,                0.87961,                0.88941,                0.93206,                0.78535,                0.58499,                0.63932,                  1.197,               0.001052,               0.001052,               0.001052
                     10,                0.43699,                0.64269,                0.98479,                0.91292,                0.94009,                0.96904,                0.85013,                0.52782,                0.53992,                 1.1398,              0.0010273,              0.0010273,              0.0010273
                     11,                0.42294,                0.61765,                0.97504,                0.92412,                0.91693,                0.95826,                0.85198,                0.51561,                0.56339,                  1.124,              0.0010025,              0.0010025,              0.0010025
                     12,                0.41615,                0.59959,                0.97055,                0.93667,                0.92444,                0.96023,                0.86429,                0.48981,                0.48597,                 1.1092,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.4037,                0.57709,                 0.9653,                0.93186,                  0.857,                0.95712,                0.84385,                0.52904,                0.61506,                 1.1219,               0.000953,               0.000953,               0.000953
                     14,                0.39233,                0.55634,                0.95786,                0.91254,                0.91128,                0.96373,                0.85095,                0.49488,                  0.542,                 1.0915,             0.00092825,             0.00092825,             0.00092825
                     15,                0.39939,                0.55624,                0.96422,                 0.9374,                0.92548,                0.96761,                0.89647,                0.41831,                0.45745,                 1.0157,              0.0009035,              0.0009035,              0.0009035
                     16,                0.38483,                0.53312,                0.95614,                0.93376,                0.86448,                0.94615,                0.83801,                0.53117,                0.58591,                 1.1178,             0.00087875,             0.00087875,             0.00087875
                     17,                0.37768,                0.51486,                0.95532,                0.93438,                0.93121,                0.97218,                0.88996,                 0.4449,                0.41772,                 1.0435,               0.000854,               0.000854,               0.000854
                     18,                0.37206,                0.50579,                0.94511,                0.93076,                0.92064,                0.96488,                0.87299,                0.46009,                0.49841,                 1.0543,             0.00082925,             0.00082925,             0.00082925
                     19,                0.36139,                0.48575,                0.94066,                0.92245,                0.90759,                0.96218,                0.87014,                0.45256,                0.50527,                 1.0368,              0.0008045,              0.0008045,              0.0008045
                     20,                0.36517,                0.48853,                0.94179,                0.93992,                0.93279,                 0.9662,                0.87341,                0.46568,                0.49669,                 1.0638,             0.00077975,             0.00077975,             0.00077975
                     21,                0.36705,                0.47901,                0.94574,                0.95371,                 0.9142,                0.97363,                0.91274,                0.39419,                0.41313,                0.99993,               0.000755,               0.000755,               0.000755
                     22,                0.35223,                0.46018,                0.93611,                0.94657,                 0.9315,                0.97508,                0.91193,                0.37486,                0.40145,                0.98779,             0.00073025,             0.00073025,             0.00073025
                     23,                0.34915,                0.46302,                0.93872,                0.96621,                0.91458,                0.97439,                0.91208,                0.36865,                 0.3874,                0.96066,              0.0007055,              0.0007055,              0.0007055
                     24,                0.33503,                   0.44,                0.93136,                0.96233,                0.93856,                0.97576,                0.91633,                0.37442,                0.38304,                0.98624,             0.00068075,             0.00068075,             0.00068075
                     25,                0.33977,                0.43913,                 0.9331,                0.96688,                0.93458,                0.97898,                0.91923,                0.35076,                 0.3691,                0.95888,               0.000656,               0.000656,               0.000656
